순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
132,나쁜 녀석들: 더 무비,2019-09-11,39560195124,4573902,1511,113938,한국,한국,(주)씨제이이엔엠
133,캐리비안의 해적: 세상의 끝에서,2007-05-23,29133447500,4571229,953,78007,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
134,가문의 위기(가문의 영광2),2005-09-07,28622355500,4529876,351,61009,한국,한국,(주)쇼박스
135,연가시,2012-07-05,32176550664,4516063,759,71932,한국,한국,(주)씨제이이엔엠
136,터미네이터 : 미래전쟁의 시작,2009-05-21,29690943500,4499776,702,93745,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
137,강철비,2017-12-14,35490646466,4452900,1426,80360,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
138,아이언맨 2,2010-04-29,32637290500,4425235,921,87672,미국,미국,CJ ENM
139,해리포터와 죽음의 성물2,2011-07-13,34668545500,4421210,757,70853,미국,미국,워너브러더스 코리아(주)
140,다만 악에서 구하소서,2020-08-05,38602260990,4357803,1998,193842,한국,한국,(주)씨제이이엔엠
141,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,4313871,1056,82722,미국,미국,이십세기폭스코리아(주)
142,강철중: 공공의 적 1-1,2008-06-19,28638465100,4313102,707,74158,한국,한국,"CJ ENM,(주)시네마서비스"
